"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Coragyps atratus","Black Vulture","Urubu noir","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2840,"BCR13"
"Cathartes aura","Turkey Vulture","Urubu à tête rouge","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2850,"Canada"
"Pandion haliaetus","Osprey","Balbuzard pêcheur","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",2900,"Canada"
"Haliaeetus leucocephalus","Bald Eagle","Pygargue à tête blanche","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",3020,"Canada"
"Circus hudsonius","Northern Harrier","Busard des marais","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",3061,"Canada"
"Accipiter striatus","Sharp-shinned Hawk","Épervier brun","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",3100,"Canada"
"Accipiter cooperii","Cooper's Hawk","Épervier de Cooper","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",3110,"Canada"
"Buteo lineatus","Red-shouldered Hawk","Buse à épaulettes","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",3280,"Canada"
"Buteo platypterus","Broad-winged Hawk","Petite Buse","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",3300,"Canada"
"Buteo swainsoni","Swainson's Hawk","Buse de Swainson","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","Y",3330,"Canada"
"Buteo jamaicensis","Red-tailed Hawk","Buse à queue rousse","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",3370,"Canada"
"Buteo regalis","Ferruginous Hawk","Buse rouilleuse","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",3390,"Canada"
"Buteo lagopus","Rough-legged Hawk","Buse pattue","Christmas Bird Count (CBC)","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",3400,"USACAN"
