"Scientific_Name","English_Name","French_Name","Main_Survey","Waterfowl: All","Waterfowl: Geese and Swans","Waterfowl: Sea Ducks","Waterfowl: Freshwater Ducks","Birds of Prey: All","Birds of Prey: Diurnal Birds of Prey","Birds of Prey: Owls","Wetland Birds: All","Wetland Birds: Wetland Waterfowl","Wetland Birds: Other Wetland Birds","Marine Birds: All","Forest Birds: All","Forest Birds: Migrating to South America","Forest Birds: Spending the Winter in Canada","Arctic Birds: All","Arctic Birds: Arctic Geese and Swans","Arctic Birds: Other Arctic Birds","Arctic Birds: Arctic Shorebirds","Long-Distance Migrants: All","Long-Distance Migrants: Short-Distance Migrants","Long-Distance Migrants: Residents","Shorebirds: All","Aerial Insectivores: All","Aerial Insectivores: Swifts, swallows, and nightjars","Aerial Insectivores: Flycatchers","Grassland Birds: All","Grassland Birds: Native Grassland Specialists","Grassland Birds: Present in Agricultural Landscapes","NatureCounts_speciesID","areaCode"
"Bombycilla garrulus","Bohemian Waxwing","Jaseur boréal","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",16320,"USACAN"
"Bombycilla cedrorum","Cedar Waxwing","Jaseur d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",16330,"Canada"
"Vermivora cyanoptera","Blue-winged Warbler","Paruline à ailes bleues","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16410,"Canada"
"Vermivora chrysoptera","Golden-winged Warbler","Paruline à ailes dorées","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16420,"Canada"
"Leiothlypis peregrina","Tennessee Warbler","Paruline obscure","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16460,"Canada"
"Leiothlypis celata","Orange-crowned Warbler","Paruline verdâtre","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16470,"Canada"
"Leiothlypis ruficapilla","Nashville Warbler","Paruline à joues grises","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16480,"Canada"
"Setophaga americana","Northern Parula","Paruline à collier","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16540,"Canada"
"Setophaga petechia","Yellow Warbler","Paruline jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16560,"Canada"
"Setophaga pensylvanica","Chestnut-sided Warbler","Paruline à flancs marron","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16570,"Canada"
"Setophaga magnolia","Magnolia Warbler","Paruline à tête cendrée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16580,"Canada"
"Setophaga tigrina","Cape May Warbler","Paruline tigrée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16590,"Canada"
"Setophaga caerulescens","Black-throated Blue Warbler","Paruline bleue","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16600,"Canada"
"Setophaga coronata","Yellow-rumped Warbler","Paruline à croupion jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",16610,"Canada"
"Setophaga nigrescens","Black-throated Gray Warbler","Paruline grise","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16640,"Canada"
"Setophaga virens","Black-throated Green Warbler","Paruline à gorge noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16660,"Canada"
"Setophaga townsendi","Townsend's Warbler","Paruline de Townsend","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16670,"Canada"
"Setophaga fusca","Blackburnian Warbler","Paruline à gorge orangée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16690,"Canada"
"Setophaga pinus","Pine Warbler","Paruline des pins","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",16760,"Canada"
"Setophaga kirtlandii","Kirtland's Warbler","Paruline de Kirtland","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16770,NA
"Setophaga discolor","Prairie Warbler","Paruline des prés","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16780,NA
"Setophaga palmarum","Palm Warbler","Paruline à couronne rousse","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",16800,"Canada"
"Setophaga castanea","Bay-breasted Warbler","Paruline à poitrine baie","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16810,"Canada"
"Setophaga striata","Blackpoll Warbler","Paruline rayée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16820,"Canada"
"Setophaga cerulea","Cerulean Warbler","Paruline azurée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16830,"Canada"
"Mniotilta varia","Black-and-white Warbler","Paruline noir et blanc","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16880,"Canada"
"Setophaga ruticilla","American Redstart","Paruline flamboyante","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16890,"Canada"
"Protonotaria citrea","Prothonotary Warbler","Paruline orangée","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16900,NA
"Seiurus aurocapilla","Ovenbird","Paruline couronnée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16930,"Canada"
"Parkesia noveboracensis","Northern Waterthrush","Paruline des ruisseaux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16940,"Canada"
"Parkesia motacilla","Louisiana Waterthrush","Paruline hochequeue","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16950,NA
"Oporornis agilis","Connecticut Warbler","Paruline à gorge grise","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16970,"Canada"
"Geothlypis philadelphia","Mourning Warbler","Paruline triste","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",16980,"Canada"
"Geothlypis tolmiei","MacGillivray's Warbler","Paruline des buissons","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",16990,"Canada"
"Geothlypis trichas","Common Yellowthroat","Paruline masquée","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",17000,"Canada"
"Setophaga citrina","Hooded Warbler","Paruline à capuchon","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",17130,NA
"Cardellina pusilla","Wilson's Warbler","Paruline à calotte noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",17140,"Canada"
"Cardellina canadensis","Canada Warbler","Paruline du Canada","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",17150,"Canada"
"Icteria virens","Yellow-breasted Chat","Ictérie polyglotte","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",17310,"Canada"
"Piranga olivacea","Scarlet Tanager","Piranga écarlate","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",17680,"Canada"
"Piranga ludoviciana","Western Tanager","Piranga à tête rouge","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",17690,"Canada"
"Pipilo maculatus","Spotted Towhee","Tohi tacheté","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18550,"Canada"
"Pipilo erythrophthalmus","Eastern Towhee","Tohi à flancs roux","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18570,"Canada"
"Spizelloides arborea","American Tree Sparrow","Bruant hudsonien","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18760,"USACAN"
"Spizella passerina","Chipping Sparrow","Bruant familier","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18770,"Canada"
"Spizella pallida","Clay-colored Sparrow","Bruant des plaines","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18780,"Canada"
"Spizella breweri","Brewer's Sparrow","Bruant de Brewer","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N",18790,"Canada"
"Spizella pusilla","Field Sparrow","Bruant des champs","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18800,"Canada"
"Pooecetes gramineus","Vesper Sparrow","Bruant vespéral","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",18830,"Canada"
"Chondestes grammacus","Lark Sparrow","Bruant à joues marron","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",18840,"Canada"
"Calamospiza melanocorys","Lark Bunting","Bruant noir et blanc","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N",18870,"Canada"
"Passerculus sandwichensis","Savannah Sparrow","Bruant des prés","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",18880,"Canada"
"Ammodramus savannarum","Grasshopper Sparrow","Bruant sauterelle","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",18900,"Canada"
"Centronyx bairdii","Baird's Sparrow","Bruant de Baird","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N",18910,"Canada"
"Centronyx henslowii","Henslow's Sparrow","Bruant de Henslow","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N",18920,NA
"Ammospiza leconteii","LeConte's Sparrow","Bruant de LeConte","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",18930,"Canada"
"Ammospiza nelsoni","Nelson's Sparrow","Bruant de Nelson","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18940,"Canada"
"Passerella iliaca","Fox Sparrow","Bruant fauve","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18980,"USACAN"
"Melospiza melodia","Song Sparrow","Bruant chanteur","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",18990,"Canada"
"Melospiza lincolnii","Lincoln's Sparrow","Bruant de Lincoln","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19000,"Canada"
"Melospiza georgiana","Swamp Sparrow","Bruant des marais","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19010,"Canada"
"Zonotrichia albicollis","White-throated Sparrow","Bruant à gorge blanche","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19030,"USACAN"
"Zonotrichia querula","Harris's Sparrow","Bruant à face noire","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",19040,"USACAN"
"Zonotrichia leucophrys","White-crowned Sparrow","Bruant à couronne blanche","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19050,"USACAN"
"Zonotrichia atricapilla","Golden-crowned Sparrow","Bruant à couronne dorée","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19060,"USACAN"
"Rhynchophanes mccownii","Thick-billed Longspur","Plectrophane à ventre gris","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N",19130,"Canada"
"Calcarius lapponicus","Lapland Longspur","Plectrophane lapon","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",19140,"USACAN"
"Calcarius pictus","Smith's Longspur","Plectrophane de Smith","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",19150,"USACAN"
"Calcarius ornatus","Chestnut-collared Longspur","Plectrophane à ventre noir","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N",19160,"Canada"
"Plectrophenax nivalis","Snow Bunting","Plectrophane des neiges","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",19250,"USACAN"
"Cardinalis cardinalis","Northern Cardinal","Cardinal rouge","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",19360,"Canada"
"Pheucticus ludovicianus","Rose-breasted Grosbeak","Cardinal à poitrine rose","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",19400,"Canada"
"Pheucticus melanocephalus","Black-headed Grosbeak","Cardinal à tête noire","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",19410,"Canada"
"Passerina amoena","Lazuli Bunting","Passerin azuré","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",19450,"Canada"
"Passerina cyanea","Indigo Bunting","Passerin indigo","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",19460,"Canada"
"Spiza americana","Dickcissel","Dickcissel d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",19510,"Canada"
"Dolichonyx oryzivorus","Bobolink","Goglu des prés","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","Y",19520,"Canada"
"Agelaius phoeniceus","Red-winged Blackbird","Carouge à épaulettes","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19530,"Canada"
"Sturnella magna","Eastern Meadowlark","Sturnelle des prés","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",19601,"Canada"
"Sturnella neglecta","Western Meadowlark","Sturnelle de l'Ouest","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y",19610,"Canada"
"Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Carouge à tête jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19620,"Canada"
"Euphagus carolinus","Rusty Blackbird","Quiscale rouilleux","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19650,"USACAN"
"Euphagus cyanocephalus","Brewer's Blackbird","Quiscale de Brewer","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19660,"Canada"
"Quiscalus quiscula","Common Grackle","Quiscale bronzé","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19670,"Canada"
"Molothrus ater","Brown-headed Cowbird","Vacher à tête brune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",19760,"Canada"
"Icterus spurius","Orchard Oriole","Oriole des vergers","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",19850,"Canada"
"Icterus bullockii","Bullock's Oriole","Oriole de Bullock","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",19920,"Canada"
"Icterus galbula","Baltimore Oriole","Oriole de Baltimore","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",19990,"Canada"
"Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Roselin à tête grise","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",20280,"USACAN"
"Pinicola enucleator","Pine Grosbeak","Durbec des sapins","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",20310,"CAN"
"Haemorhous purpureus","Purple Finch","Roselin pourpré","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",20330,"Canada"
"Haemorhous cassinii","Cassin's Finch","Roselin de Cassin","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",20340,"Canada"
"Haemorhous mexicanus","House Finch","Roselin familier","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",20350,"Canada"
"Loxia leucoptera","White-winged Crossbill","Bec-croisé bifascié","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",20380,"USACAN"
"Acanthis hornemanni","Hoary Redpoll","Sizerin blanchâtre","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",20400,"USACAN"
"Spinus pinus","Pine Siskin","Tarin des pins","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",20420,"Canada"
"Spinus tristis","American Goldfinch","Chardonneret jaune","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",20500,"Canada"
"Coccothraustes vespertinus","Evening Grosbeak","Gros-bec errant","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",20570,"Canada"
"Passer domesticus","House Sparrow","Moineau domestique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",20910,"Canada"
"Anas acuta","Northern Pintail","Canard pilet","Waterfowl Breeding Population and Habitat Survey in Western Canada and the Northwestern United States","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",30508,"CANPRAIRIE_WBOREAL"
"Bubo virginianus","Great Horned Owl","Grand-duc d'Amérique","Christmas Bird Count (CBC)","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",32671,"CAN"
"Riparia riparia","Bank Swallow","Hirondelle de rivage","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N",35407,"Canada"
"Phasianus colchicus","Ring-necked Pheasant","Faisan de Colchide","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",40183,"Canada"
"Larus glaucoides","Iceland Gull","Goéland arctique","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",40393,"USACAN"
"Aphelocoma californica","California Scrub-Jay","Geai buissonnier","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",40626,NA
"Troglodytes hiemalis","Winter Wren","Troglodyte des forêts","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",40702,"Canada"
"Cistothorus stellaris","Sedge Wren","Troglodyte à bec court","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",40703,"Canada"
"Gallinula galeata","Common Gallinule","Gallinule d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",41203,"Canada"
"Vireo olivaceus","Red-eyed Vireo","Viréo aux yeux rouges","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",41384,"Canada"
"Accipiter atricapillus","American Goshawk","Autour d'Amérique","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",41568,"Canada"
"Anarhynchus nivosus","Snowy Plover","Pluvier neigeux","No Suitable Data","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",41600,NA
"Junco hyemalis","Dark-eyed Junco","Junco ardoisé","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",42218,"USACAN"
"Acanthis flammea","Common Redpoll","Sizerin flammé","Christmas Bird Count (CBC)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N",42261,"USACAN"
"Troglodytes pacificus","Pacific Wren","Troglodyte de Baird","North American Breeding Bird Survey (BBS)","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",42291,"Canada"
"Strix varia","Barred Owl","Chouette rayée","North American Breeding Bird Survey (BBS)","N","N","N","N","Y","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",43362,"Canada"
"Hydrobates leucorhous","Leach's Storm-Petrel","Océanite cul-blanc","Seabird Colony Monitoring Program","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",45376,"Atlantic"
"Fulica americana","American Coot","Foulque d'Amérique","Waterfowl Breeding Population and Habitat Survey in Western Canada and the Northwestern United States","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",45419,"CANPRAIRIE_WBOREAL"
